24415308: { "umbrella":892988,"name":"a63f9e6aca30779aaa0cf525c1fb7886fe2ba86b","value":651087,"payload":"\"........\"","date_stamp":"67147-544","time":"0113-0901","id":"4bf22a81123d2885146b94a9a24556f85429664d"}
63189800: { "umbrella":162582,"name":"a0afa02923fea8b150372edda03275a8dd38d9da","value":266214,"payload":"\"........\"","date_stamp":"49738-289","time":"72036-001","id":"6c0bd33e04ce3b19798d5b2ab1b96bdee401daf7"}
51119680: { "umbrella":860863,"name":"79c115ad0a37ecae8f84aa99771f3ad1439e59bf","value":583070,"payload":"\"........\"","date_stamp":"63868-091","time":"62011-0193","id":"18180f6696a68fd1497f712963b73f9e949ccffe"}
74554597:  === THIS IS NOT JSON and should error if this line is part of the result set, but is ok if it not ==
75675996: { "umbrella":501670,"name":"fca0335b30593ea8fedef751b3641d896984007a","value":136952,"payload":"\"........\"","date_stamp":"0378-0472","time":"58118-7366","id":"c3041c48c118d6e4db50224abd9abc4e4235221d"}
92124050: { "umbrella":559902,"name":"ecdece24e4959fbed2cc578bc60f950a9f5af65e","value":547379,"payload":"\"........\"","date_stamp":"0591-5789","time":"55154-5389","id":"dfb64d747c06026e10a031e0f22a03fa808eb857"}
12065282: { "umbrella":199169,"name":"78c442c44499024745f9ebe983dfe1f10c2c7bb8","value":261735,"payload":"\"........\"","date_stamp":"16590-595","time":"49527-746","id":"7ab523df8db36e24f7fbfdb95a293f6a54872fc5"}
77946921: { "umbrella":589228,"name":"4162c0ebc749e6bf492c0f3e1de86ed18c51248e","value":728468,"payload":"\"........\"","date_stamp":"68428-019","time":"55111-472","id":"825b302f5acf311f0fa0e2ea45463870646d6d4e"}
41645428: { "umbrella":923756,"name":"b0d589e873b6f08831398c5f203028834297174a","value":867647,"payload":"\"........\"","date_stamp":"55910-150","time":"62011-0060"}
82112200: { "umbrella":107438,"name":"4861086bea5be242b0344faded45dd736cf13e20","value":15171,"payload":"\"........\"","date_stamp":"0363-0096","time":"58668-2171","id":"45c26e6b656cdf0a9e901e8fa6f7da0eecba4f19"}
38647939: { "umbrella":472086,"name":"06e0878b315f7ce87dbc34c779dabda2884e2a11","value":641458,"payload":"\"........\"","date_stamp":"36769-001","time":"55154-6526","id":"9e057ae60f94030abc199b6f1bb96317a4aee7ab"}
80597943: { "umbrella":426332,"name":"f1f9c18ed1d66bf483feb8eb718d7fcd3d7aa44b","value":722475,"payload":"\"........\"","date_stamp":"58291-0001","time":"30142-183","id":"1624b5c7970b9d5dc5ad27f79c5c743136e5447f"}
59327269: { "umbrella":297742,"name":"c31c965e57f06b7476233315182ad05d9febddf3","value":391394,"payload":"\"........\"","date_stamp":"53057-005","time":"53346-1301","id":"e494336e4b1940cdbffeacf80d1cb9399d013599"}
38901806: { "umbrella":291954,"name":"47cc38f73c2c32e33fba48e89628ecd267112bf2","value":537629,"payload":"\"........\"","date_stamp":"11822-0371","time":"36987-2423","id":"9030b3640f1b0d3100e718933e8cba6c843e56c8"}
53376215: { "umbrella":132023,"name":"89a1b8be0b0cf08bfa1e609f7e8340fa7a003cbe","value":506229,"payload":"\"........\"","date_stamp":"10345-031","time":"49288-0476","id":"e79c4a77be65a121c332328d3afab63371458061"}
92087024: { "umbrella":561452,"name":"dfea8c0c3c0623022b6ab8e28e332863ce4002bd","value":787937,"payload":"\"........\"","date_stamp":"68258-6056","time":"53462-502","id":"c560d39c3699062c836599d73488a85f3a099f42"}
27438907: { "umbrella":398359,"name":"ff0f0e959158fe3f703bcff6747f14f5f3765085","value":767045,"payload":"\"........\"","date_stamp":"43353-900","time":"59663-130","id":"aced9973abc27e93b17384503f541c9fd3d32637"}
22255007: { "umbrella":475900,"name":"82f765f5315bd62981a9390ae7eb129ee788231a","value":794346,"payload":"\"........\"","date_stamp":"42821-001","time":"10596-153","id":"453c3ea243c39c5da7730348234c7ffbcda526e4"}
65709433: { "umbrella":976507,"name":"2cb9bf24117023bb8310e3f8acfc726d6a0ff7e6","value":151155,"payload":"\"........\"","date_stamp":"0185-0065","time":"55154-2879","id":"52ef6964f888f3cc15b3a3bb61e88f01a52cb3a5"}
27873305: { "umbrella":276345,"name":"e4100b60c51a66cb3d1c6e3037b8eca29084f7a3","value":282666,"payload":"\"........\"","date_stamp":"0169-7020","time":"33342-048","id":"7147526c64cd0352c68996f389b64d93a747103f"}
